treatment,Y
heel,9.125773
heel,14.501694
heel,19.346668
heel,22.846091
heel,23.830893
heel,23.597229
heel,23.558909
heel,23.315665
heel,22.672303
heel,21.192929
heel,19.228414
heel,17.45131
heel,15.592775
heel,13.313764
heel,10.71906
heel,8.436905
heel,6.635551
heel,5.368885
heel,4.705315
heel,4.598288
heel,4.486321
heel,4.041146
heel,2.914439
heel,1.621428
heel,-0.022902
heel,-1.116528
heel,-1.344354
heel,-1.112038
heel,-0.720452
heel,0.255369
heel,1.466949
heel,2.974315
heel,4.674779
heel,5.667514
heel,5.222789
heel,3.903882
heel,5.094356
heel,8.980575
heel,12.553195
heel,16.281193
heel,20.785327
heel,26.454188
heel,29.850176
heel,26.42934
heel,20.25947
heel,16.989071
heel,16.144228
heel,16.728164
heel,17.849482
heel,18.685044
heel,18.426831
heel,16.510516
heel,13.320051
heel,10.668315
heel,8.789273
heel,7.264693
heel,5.731282
heel,4.245471
heel,3.017425
heel,1.908681
heel,0.848585
heel,-0.510439
heel,-1.323997
heel,-1.828448
heel,-1.093626
heel,-0.611029
heel,0.403561
heel,1.498384
heel,2.517016
heel,2.729424
heel,2.04355
heel,1.891317
heel,4.544999
heel,9.706116
heel,14.918277
heel,20.455712
heel,26.322911
heel,28.201804
heel,24.710913
heel,21.24532
heel,19.803967
heel,19.920276
heel,20.173399
heel,19.299516
heel,17.6001
heel,15.830031
heel,14.014756
heel,11.809392
heel,9.094039
heel,6.247109
heel,4.072731
heel,2.684967
heel,2.362387
heel,2.79394
heel,3.13044
heel,3.078049
heel,2.290686
heel,1.310525
heel,0.515528
heel,-0.020807
heel,-0.547412
heel,-0.818498
heel,-0.487536
heel,0.872086
heel,3.066972
heel,4.61161
heel,5.80403
heel,6.240523
heel,6.740483
heel,8.367001
heel,10.754835
heel,13.964461
heel,17.499809
heel,22.470223
heel,26.777815
heel,26.000182
heel,22.723646
heel,21.268971
heel,21.023931
heel,21.184397
heel,21.048479
heel,19.756067
heel,17.064963
heel,13.692626
heel,10.407707
heel,7.391479
heel,5.340894
heel,3.989204
heel,3.280578
heel,2.870132
heel,2.271227
heel,1.49554
heel,0.458646
heel,-0.508493
heel,-0.753234
heel,-0.725841
heel,-0.551753
heel,-0.007484
heel,0.661474
heel,1.133593
heel,1.892814
heel,2.550396
heel,3.081193
heel,4.03456
heel,7.300319
heel,13.141772
heel,18.578017
heel,22.980512
heel,26.061255
heel,26.508525
heel,24.226072
heel,21.302651
heel,19.893631
heel,19.507135
heel,18.61035
heel,17.306711
heel,16.046182
heel,14.13316
heel,11.992012
heel,10.083781
heel,8.43002
heel,6.979985
heel,5.87154
heel,4.985982
heel,4.088149
heel,2.988835
heel,1.733395
heel,0.434397
heel,-0.565075
heel,-0.940045
heel,-1.044378
heel,-0.858615
heel,-0.510588
heel,-0.007634
heel,0.61552
heel,1.994303
heel,3.52023
heel,5.179379
heel,5.896837
heel,4.959936
heel,4.975503
heel,7.941436
heel,10.841206
heel,13.643528
heel,17.648899
heel,23.237378
heel,29.273276
heel,30.014085
heel,25.166566
heel,21.524939
heel,19.867735
heel,18.934126
heel,18.600171
heel,18.438357
heel,17.445622
heel,15.383809
heel,12.945081
heel,10.697953
heel,8.742121
heel,7.002738
heel,5.23701
heel,3.791316
heel,2.259252
heel,1.103206
heel,0.356559
heel,-0.346679
heel,-0.87044
heel,-1.184487
heel,-1.093626
heel,-0.51433
heel,0.194595
heel,1.475332
heel,2.799928
heel,3.976331
heel,4.757856
heel,4.431086
heel,3.876638
heel,5.942642
heel,11.078762
heel,16.244968
heel,21.354144
heel,25.978627
heel,27.524163
heel,24.723637
heel,21.363125
heel,18.88443
heel,17.689465
heel,17.183517
heel,16.399297
heel,15.597415
heel,14.611415
heel,13.116624
heel,10.986104
heel,8.599467
heel,6.50637
heel,5.085824
heel,4.73181
heel,4.958738
heel,5.035529
heel,4.742588
heel,3.963159
heel,2.531685
heel,0.730631
heel,-0.692759
heel,-1.214275
heel,-1.541345
heel,-1.467548
heel,-0.92328
heel,0.411045
heel,2.365681
heel,3.892655
heel,4.338728
heel,3.985762
heel,4.345464
heel,7.520361
heel,11.385025
heel,16.151712
heel,22.222638
heel,28.643236
heel,31.714699
heel,27.82369
heel,21.522244
heel,17.570612
heel,16.017442
heel,16.026872
heel,16.604221
heel,17.721797
heel,18.396295
heel,17.612674
heel,15.271243
heel,12.293036
heel,9.611513
heel,7.547156
heel,5.717061
heel,3.838917
heel,2.045796
heel,0.792302
heel,-0.078437
heel,-0.730481
heel,-1.265319
heel,-1.642983
heel,-1.566792
heel,-0.913101
heel,-0.134121
heel,1.004561
heel,2.34188
heel,3.459007
heel,3.61603
heel,2.653083
heel,1.972748
heel,4.524641
heel,10.656789
heel,16.036003
heel,20.323986
heel,24.610772
heel,27.160869
heel,26.240882
heel,23.300097
heel,21.114792
heel,20.009191
heel,19.24952
heel,17.758621
heel,16.14797
heel,14.7629
heel,13.204641
heel,11.333981
heel,9.429791
heel,7.894433
heel,6.416557
heel,5.311255
heel,4.892726
heel,4.62119
heel,3.922892
heel,2.853516
heel,1.502575
heel,0.47631
heel,-0.00494
heel,-0.040416
heel,-0.245639
heel,-0.561183
heel,-0.488734
heel,0.166304
heel,1.396596
heel,2.875371
heel,3.967649
heel,4.061055
heel,3.657644
heel,5.38086
heel,9.178763
heel,13.202994
heel,17.084273
heel,21.193977
heel,25.521178
heel,27.543473
heel,24.595653
heel,21.098475
heel,20.204834
heel,20.295096
heel,20.323238
heel,19.918928
heel,18.822758
heel,16.960181
heel,14.619499
heel,11.985576
heel,9.423055
heel,7.207961
heel,5.311704
heel,3.840264
heel,2.841391
heel,2.178869
heel,1.67846
heel,1.162932
heel,0.235161
heel,-0.556393
heel,-0.835862
heel,-0.8658
heel,-0.546214
heel,0.238754
heel,1.353635
heel,2.762805
heel,3.869154
heel,4.766837
heel,4.433181
heel,4.231101
heel,7.792495
heel,13.097763
heel,17.686022
heel,21.903801
heel,25.309818
heel,26.062902
heel,24.867937
heel,22.935755
heel,21.499192
heel,20.464244
heel,19.032771
heel,17.45131
heel,15.635586
heel,13.521083
heel,11.180101
heel,8.589139
heel,6.318211
heel,4.672533
heel,3.905828
heel,3.883075
heel,4.068988
heel,4.224814
heel,3.874842
heel,2.860402
heel,1.271157
heel,-0.074395
heel,-0.620909
heel,-0.654888
heel,-0.548609
heel,-0.102088
heel,0.994532
heel,2.407144
heel,3.826044
heel,4.850214
heel,4.79917
heel,3.317252
heel,3.079097
heel,6.346203
heel,10.641221
heel,15.037729
heel,20.325333
heel,26.966573
heel,31.309043
heel,28.854447
heel,22.167103
heel,17.777182
heel,16.517701
heel,16.226557
heel,16.149916
heel,16.612005
heel,16.925453
heel,16.287779
heel,14.334641
heel,11.91627
heel,9.78575
heel,8.05475
heel,6.43916
