n,Yheel,Ytoe
259,18.309475,11.242671
260,17.067658,11.345357
261,15.314204,10.350227
262,13.239818,8.931926
263,11.111693,7.397168
264,8.794512,5.608088
265,6.884783,3.566184
266,5.768704,1.758393
267,5.349276,-0.224832
268,5.252577,-2.182012
269,5.019063,-3.859125
270,4.399052,-4.583918
271,3.331173,-4.393514
272,1.848656,-3.148852
273,0.388143,-0.521216
274,-0.725092,2.699187
275,-1.336271,5.696554
276,-1.660048,7.626191
277,-1.538351,8.706195
278,-0.842598,8.220306
279,0.558339,6.100863
280,2.368674,5.354366
281,3.993096,7.163054
282,4.339326,10.510843
283,3.702551,15.701748
284,4.888385,22.101839
285,8.624914,29.471913
286,12.846136,32.249237
287,17.208814,28.378736
288,21.360281,22.787862
289,25.285269,19.70188
290,26.840984,18.136585
291,24.535927,16.798218
292,20.73084,15.452965
293,18.250498,14.608871
294,17.238602,13.781092
295,16.82127,12.440929
296,16.675473,10.919343
297,16.799116,9.436826
298,16.647781,7.651788
299,15.749199,5.49178
300,14.18585,3.111879
301,11.864627,1.017135
302,9.250014,-0.611179
303,6.927893,-2.227817
304,5.256768,-3.626808
305,4.071982,-4.1838
306,2.999313,-3.704347
307,1.723516,-3.037783
308,0.393681,-2.12573
309,-0.685874,-0.458796
310,-1.036295,1.417552
311,-1.058898,3.143313
312,-0.791255,4.952601
313,0.099393,5.838159
314,1.13479,5.514832
315,2.024091,5.548063
316,2.761607,8.522827
317,2.9092,13.121564
318,2.504741,17.866247
319,3.41919,24.299569
320,7.637867,30.033395
321,13.674364,30.995894
322,19.04774,27.510242
323,23.109094,23.339765
324,24.483387,21.489313
325,23.005959,20.217408
326,20.929926,18.058148
327,19.494561,16.08061
328,19.309097,14.547498
329,19.647543,12.843592
330,19.324814,10.945838
331,18.540295,9.112451
332,17.552649,7.366032
333,15.936759,5.694309
334,14.048137,4.364025
335,11.722872,3.709586
336,9.465417,3.352429
337,7.564669,2.54381
338,6.114635,1.365161
339,5.209766,0.039069
340,4.715793,-0.978815
341,4.330046,-1.49569
342,3.75075,-1.165776
343,2.825225,-0.810564
344,1.57712,-0.736319
345,0.445174,-0.307161
346,-0.124391,1.134641
347,-0.190105,2.974016
348,-0.19235,4.764742
349,-0.424667,6.300698
350,-0.500858,7.299421
351,0.289199,6.412066
352,1.801653,4.286486
353,3.062182,4.451743
354,4.076772,8.327782
355,4.413273,10.840457
356,4.700226,13.93093
357,7.12189,20.068168
358,10.710677,29.595107
359,14.956747,38.126765
360,19.620599,32.873589
361,23.280937,25.320745
362,24.889193,20.199894
363,23.177802,16.977695
364,19.342327,14.925762
365,17.540973,13.890365
366,18.005158,13.625266
367,18.938318,13.727953
368,19.726878,13.510455
369,20.191512,12.344679
370,19.925066,10.199041
371,18.50452,7.791897
372,16.122373,5.345384
373,13.270055,3.171904
374,10.782528,1.069975
375,8.560099,-0.95217
376,6.721622,-2.699636
377,5.169201,-3.766318
378,3.832331,-3.979624
379,2.574945,-3.748954
380,1.385519,-3.148403
381,0.027543,-2.070494
382,-1.259032,-0.071102
383,-2.171684,2.349065
384,-2.373464,4.247268
385,-2.003733,6.253845
386,-1.421893,8.050409
387,-0.151934,8.481812
388,1.783541,7.961644
389,3.610492,8.26626
390,4.810247,10.872491
391,4.629423,13.505365
392,3.675307,15.640226
393,4.681964,20.727397
394,9.125773,28.334428
395,14.501694,31.840288
396,19.346668,29.222831
397,22.846091,23.252346
398,23.830893,19.11016
399,23.597229,16.536861
400,23.558909,14.8114
401,23.315665,13.823604
402,22.672303,13.041929
403,21.192929,11.970607
404,19.228414,10.613978
405,17.45131,9.127868
406,15.592775,7.782317
407,13.313764,6.184539
408,10.71906,4.49635
409,8.436905,2.586022
410,6.635551,0.454156
411,5.368885,-1.639091
412,4.705315,-3.695216
413,4.598288,-4.881649
414,4.486321,-4.556974
415,4.041146,-3.513344
416,2.914439,-2.294429
417,1.621428,-0.998873
418,-0.022902,1.008303
419,-1.116528,3.617677
420,-1.344354,6.558312
421,-1.112038,8.906479
422,-0.720452,9.847722
423,0.255369,8.187973
424,1.466949,6.152356
425,2.974315,7.654482
426,4.674779,11.164833
427,5.667514,16.304095
428,5.222789,22.924079
429,3.903882,31.841635
430,5.094356,35.952387
431,8.980575,28.683053
432,12.553195,20.824845
433,16.281193,16.665444
434,20.785327,14.953903
435,26.454188,14.204112
436,29.850176,14.307697
437,26.42934,15.826289
438,20.25947,18.498083
439,16.989071,20.770657
440,16.144228,19.983744
441,16.728164,15.928676
442,17.849482,11.282338
443,18.685044,7.332053
444,18.426831,3.835324
445,16.510516,0.423469
446,13.320051,-2.61611
447,10.668315,-4.695136
448,8.789273,-5.839207
449,7.264693,-6.205047
450,5.731282,-5.75613
451,4.245471,-4.7369
452,3.017425,-3.489244
453,1.908681,-2.020049
454,0.848585,-0.123942
455,-0.510439,2.557581
456,-1.323997,5.11172
457,-1.828448,7.066206
458,-1.093626,8.51624
459,-0.611029,8.928333
460,0.403561,8.968899
461,1.498384,9.693991
462,2.517016,11.355536
463,2.729424,13.911172
464,2.04355,18.071919
465,1.891317,27.286008
466,4.544999,34.717904
467,9.706116,33.662449
468,14.918277,26.652077
469,20.455712,20.007843
470,26.322911,14.84987
471,28.201804,11.18519
472,24.710913,9.357641
473,21.24532,8.799601
474,19.803967,8.897198
475,19.920276,9.520652
476,20.173399,9.686207
477,19.299516,9.201815
478,17.6001,8.248747
479,15.830031,6.570886
480,14.014756,4.17871
481,11.809392,1.380429
482,9.094039,-1.138383
483,6.247109,-2.991679
484,4.072731,-3.994743
485,2.684967,-3.810177
486,2.362387,-2.558779
487,2.79394,-0.677641
488,3.13044,1.272354
489,3.078049,3.487298
490,2.290686,5.095853
491,1.310525,5.931565
492,0.515528,6.353089
493,-0.020807,6.486012
494,-0.547412,5.981112
495,-0.818498,5.172494
496,-0.487536,5.813611
497,0.872086,9.379795
498,3.066972,13.434712
499,4.61161,18.325492
500,5.80403,25.038881
501,6.240523,33.686399
502,6.740483,38.684056
503,8.367001,32.054492
504,10.754835,22.079535
505,13.964461,17.596208
506,17.499809,15.765965
507,22.470223,14.833104
508,26.777815,14.470858
509,26.000182,14.564563
510,22.723646,14.069842
511,21.268971,13.107193
512,21.023931,10.79106
513,21.184397,7.36214
514,21.048479,3.765719
515,19.756067,0.604892
516,17.064963,-1.872606
517,13.692626,-3.729045
518,10.407707,-4.673881
519,7.391479,-4.679569
520,5.340894,-3.853736
521,3.989204,-3.335214
522,3.280578,-3.442541
523,2.870132,-3.109184
524,2.271227,-1.796265
525,1.49554,0.47616
526,0.458646,3.061883
527,-0.508493,5.32338
528,-0.753234,7.5256
529,-0.725841,8.320597
530,-0.551753,7.825876
531,-0.007484,6.24651
532,0.661474,5.838908
533,1.133593,8.765771
534,1.892814,12.946877
535,2.550396,18.34076
536,3.081193,28.942614
537,4.03456,38.508172
538,7.300319,37.271593
539,13.141772,27.973978
540,18.578017,20.333566
541,22.980512,15.292349
542,26.061255,11.919563
543,26.508525,10.908715
544,24.226072,11.895613
545,21.302651,13.012291
546,19.893631,13.542039
547,19.507135,13.161081
548,18.61035,11.929143
549,17.306711,10.189461
550,16.046182,8.078251
551,14.13316,5.661976
552,11.992012,3.220253
553,10.083781,0.921933
554,8.43002,-1.398691
555,6.979985,-3.039879
556,5.87154,-3.641028
557,4.985982,-3.482807
558,4.088149,-2.681075
559,2.988835,-1.214574
560,1.733395,0.266596
561,0.434397,1.970053
562,-0.565075,3.9431
563,-0.940045,6.208789
564,-1.044378,8.327932
565,-0.858615,9.937684
566,-0.510588,10.207873
567,-0.007634,8.951385
568,0.61552,7.416477
569,1.994303,7.647597
570,3.52023,9.108559
571,5.179379,11.753858
572,5.896837,16.291522
573,4.959936,22.473815
574,4.975503,28.82406
575,7.941436,31.189441
576,10.841206,27.487489
577,13.643528,22.398821
578,17.648899,19.214942
579,23.237378,17.080681
580,29.273276,15.483951
581,30.014085,13.986166
582,25.166566,12.852274
583,21.524939,11.706406
584,19.867735,10.013277
585,18.934126,7.761061
586,18.600171,5.004094
587,18.438357,2.134861
588,17.445622,-0.66372
589,15.383809,-3.24585
590,12.945081,-5.325027
591,10.697953,-6.165678
592,8.742121,-5.373675
593,7.002738,-3.982468
594,5.23701,-2.216291
595,3.791316,0.250429
596,2.259252,2.488874
597,1.103206,3.27489
598,0.356559,3.651956
599,-0.346679,4.043242
600,-0.87044,4.854854
601,-1.184487,5.420977
602,-1.093626,6.055957
603,-0.51433,7.07354
604,0.194595,9.203162
605,1.475332,12.629387
606,2.799928,15.327826
607,3.976331,18.04258
608,4.757856,24.738306
609,4.431086,32.278876
610,3.876638,35.559753
611,5.942642,31.816787
612,11.078762,26.569748
613,16.244968,22.619912
614,21.354144,19.25461
615,25.978627,15.72944
616,27.524163,13.329631
617,24.723637,12.281361
618,21.363125,11.008258
619,18.88443,9.181756
620,17.689465,7.444619
621,17.183517,6.12152
622,16.399297,5.242698
623,15.597415,4.315825
624,14.611415,3.483706
625,13.116624,2.79409
626,10.986104,1.863625
627,8.599467,0.561482
628,6.50637,-0.56283
