contact.deg,shin.deg,liftoff.deg
17.8776395143682,13.9836201231992,-32.4329065619664
17.9323274422148,14.2513070623601,-29.8392979124551
16.4213129539278,12.6488907056744,-28.2808207051684
16.9344019296729,13.3852426141213,-24.2366818333109
17.1484561064801,14.3583849312243,-23.5735239831173
18.0426796116679,14.6875149656967,-22.8459360651835
17.085596752515,13.2660205647843,-23.2893007160429
19.0995361115645,14.5960231946397,-21.2613988639078
19.0168315977991,15.5807004684952,-20.4293720771308
16.9344019113658,13.8923621271951,-28.1356502218381
19.2171647613031,16.9135984530323,-22.2793768508784
19.1581765928974,14.457110711097,-28.1212084268459
17.9725484228453,14.2548472843639,-19.1229508081495
17.4920583666307,15.6289830580461,-22.0957883340371
18.932936577622,16.3323928813232,-22.402587841338
17.6946124266484,15.8992300752558,-23.3579367506772
18.7580737101008,15.5338757916243,-22.3454657188964
19.2542100904879,16.5419970029519,NaN
